item,country,year,sales
sweater,Russia,2010,85
sweater,Russia,2011,10
sweater,Russia,2012,104
sweater,Russia,2013,59
sweater,Russia,2014,113
sweater,Russia,2015,21
sweater,Russia,2016,23
sweater,Russia,2017,94
sweater,Russia,2018,134
sweater,Russia,2019,152
sweater,Belarus,2010,34
sweater,Belarus,2011,87
sweater,Belarus,2012,91
sweater,Belarus,2013,71
sweater,Belarus,2014,44
sweater,Belarus,2015,61
sweater,Belarus,2016,124
sweater,Belarus,2017,82
sweater,Belarus,2018,33
sweater,Belarus,2019,85
sweater,Ukraine,2010,53
sweater,Ukraine,2011,39
sweater,Ukraine,2012,32
sweater,Ukraine,2013,102
sweater,Ukraine,2014,121
sweater,Ukraine,2015,103
sweater,Ukraine,2016,100
sweater,Ukraine,2017,64
sweater,Ukraine,2018,49
sweater,Ukraine,2019,143
sweater,Lithuania,2010,100
sweater,Lithuania,2011,34
sweater,Lithuania,2012,75
sweater,Lithuania,2013,151
sweater,Lithuania,2014,26
sweater,Lithuania,2015,76
sweater,Lithuania,2016,150
sweater,Lithuania,2017,21
sweater,Lithuania,2018,114
sweater,Lithuania,2019,18
sweater,Latvia,2010,70
sweater,Latvia,2011,156
sweater,Latvia,2012,70
sweater,Latvia,2013,39
sweater,Latvia,2014,130
sweater,Latvia,2015,87
sweater,Latvia,2016,36
sweater,Latvia,2017,85
sweater,Latvia,2018,68
sweater,Latvia,2019,33
sneakers,Russia,2010,27
sneakers,Russia,2011,143
sneakers,Russia,2012,109
sneakers,Russia,2013,52
sneakers,Russia,2014,39
sneakers,Russia,2015,116
sneakers,Russia,2016,85
sneakers,Russia,2017,148
sneakers,Russia,2018,154
sneakers,Russia,2019,69
sneakers,Belarus,2010,156
sneakers,Belarus,2011,112
sneakers,Belarus,2012,111
sneakers,Belarus,2013,16
sneakers,Belarus,2014,132
sneakers,Belarus,2015,46
sneakers,Belarus,2016,52
sneakers,Belarus,2017,40
sneakers,Belarus,2018,65
sneakers,Belarus,2019,74
sneakers,Ukraine,2010,158
sneakers,Ukraine,2011,48
sneakers,Ukraine,2012,98
sneakers,Ukraine,2013,18
sneakers,Ukraine,2014,121
sneakers,Ukraine,2015,55
sneakers,Ukraine,2016,139
sneakers,Ukraine,2017,19
sneakers,Ukraine,2018,151
sneakers,Ukraine,2019,69
sneakers,Lithuania,2010,155
sneakers,Lithuania,2011,49
sneakers,Lithuania,2012,81
sneakers,Lithuania,2013,46
sneakers,Lithuania,2014,155
sneakers,Lithuania,2015,106
sneakers,Lithuania,2016,65
sneakers,Lithuania,2017,118
sneakers,Lithuania,2018,49
sneakers,Lithuania,2019,17
sneakers,Latvia,2010,16
sneakers,Latvia,2011,147
sneakers,Latvia,2012,105
sneakers,Latvia,2013,50
sneakers,Latvia,2014,97
sneakers,Latvia,2015,129
sneakers,Latvia,2016,82
sneakers,Latvia,2017,90
sneakers,Latvia,2018,77
sneakers,Latvia,2019,19
hoodie,Russia,2010,46
hoodie,Russia,2011,23
hoodie,Russia,2012,15
hoodie,Russia,2013,88
hoodie,Russia,2014,121
hoodie,Russia,2015,144
hoodie,Russia,2016,107
hoodie,Russia,2017,14
hoodie,Russia,2018,37
hoodie,Russia,2019,83
hoodie,Belarus,2010,126
hoodie,Belarus,2011,42
hoodie,Belarus,2012,82
hoodie,Belarus,2013,30
hoodie,Belarus,2014,51
hoodie,Belarus,2015,24
hoodie,Belarus,2016,82
hoodie,Belarus,2017,157
hoodie,Belarus,2018,70
hoodie,Belarus,2019,138
hoodie,Ukraine,2010,68
hoodie,Ukraine,2011,97
hoodie,Ukraine,2012,93
hoodie,Ukraine,2013,108
hoodie,Ukraine,2014,83
